,name,allsides_page,bias,agree,disagree,agree_ratio,agreeance_text,website,total_votes
0,ABC News (Online),https://www.allsides.com/news-source/abc-news-media-bias,left-center,34459,17555,1.962916547992025,agrees,http://abcnews.go.com/,52014
1,AlterNet,https://www.allsides.com/news-source/alternet-media-bias,left,13216,2817,4.691515796947106,absolutely agrees,http://www.alternet.org/,16033
2,AP Politics & Fact Check,https://www.allsides.com/news-source/ap-fact-check-media-bias,left-center,4433,5184,0.855131172839506,somewhat disagrees,https://apnews.com/APFactCheck,9617
3,Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,center,25950,19832,1.308491327148043,somewhat agrees,https://apnews.com/,45782
4,Axios,https://www.allsides.com/news-source/axios,center,5707,6033,0.9459638654069281,somewhat disagrees,https://www.axios.com/,11740
5,BBC News,https://www.allsides.com/news-source/bbc-news-media-bias,center,28502,24487,1.163964552619757,somewhat agrees,http://www.bbc.com/,52989
6,Bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,left-center,15510,20737,0.747938467473597,somewhat disagrees,http://www.bloomberg.com/,36247
7,Breitbart News,https://www.allsides.com/news-source/breitbart,right,38379,11067,3.467877473570073,absolutely agrees,http://www.breitbart.com/,49446
8,BuzzFeed News,https://www.allsides.com/news-source/buzzfeed-media-bias,left,23767,9085,2.616070445789763,strongly agrees,http://buzzfeednews.com,32852
9,CBS News (Online),https://www.allsides.com/news-source/cbs-news-media-bias,left-center,18509,11817,1.566302784124566,agrees,http://www.cbsnews.com/,30326
10,Christian Science Monitor,https://www.allsides.com/news-source/christian-science-monitor,center,15306,18859,0.8116018876928781,somewhat disagrees,http://www.csmonitor.com/,34165
11,CNN (Online News),https://www.allsides.com/news-source/cnn-media-bias,left,49510,47314,1.046413323751955,somewhat agrees,http://www.cnn.com,96824
12,CNN (Opinion),https://www.allsides.com/news-source/cnn-editorial,left,32206,7120,4.5233146067415735,absolutely agrees,https://www.cnn.com/opinions,39326
13,Daily Beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,18776,5984,3.137700534759358,absolutely agrees,http://www.thedailybeast.com/,24760
14,Daily Mail,https://www.allsides.com/news-source/daily-mail,right,11331,6221,1.821411348657772,agrees,http://dailymail.co.uk,17552
15,Democracy Now,https://www.allsides.com/news-source/democracy-now,left,12936,2964,4.364372469635628,absolutely agrees,http://www.democracynow.org/,15900
16,Forbes,https://www.allsides.com/news-source/forbes,center,13262,8028,1.6519681116093672,agrees,http://www.forbes.com/,21290
17,Fox News (Online News),https://www.allsides.com/news-source/fox-news-media-bias,right,40581,46883,0.8655802742998521,somewhat disagrees,http://www.foxnews.com/,87464
18,Fox News (Opinion),https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,26765,6298,4.249761829152112,absolutely agrees,http://www.foxnews.com/opinion.html,33063
19,HuffPost,https://www.allsides.com/news-source/huffpost-media-bias,left,34895,22139,1.57617778580785,agrees,https://www.huffpost.com/,57034
20,Mother Jones,https://www.allsides.com/news-source/mother-jones-bias,left,14819,2183,6.788364635822263,absolutely agrees,http://www.motherjones.com/,17002
21,MSNBC,https://www.allsides.com/news-source/msnbc,left,20314,5295,3.836449480642115,absolutely agrees,http://www.msnbc.com/,25609
22,National Review,https://www.allsides.com/news-source/national-review,right,18380,7528,2.4415515409139212,strongly agrees,http://www.nationalreview.com/,25908
23,NBC News (Online),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,11721,11581,1.012088766082376,somewhat agrees,http://www.nbcnews.com,23302
